cw,image_id,label_id,label_class,coordinates
cw_1@c.com,image1,label1,vehicle,"{'x_1': 1.4017212061029027, 'y_1': 0.6994218958862538, 'x_2': 3.341999135582738, 'y_2': 3.4249848189132757}"
cw_1@c.com,image1,label2,pedestrian,"{'x_1': 9.304617336306633, 'y_1': 1.0745049904879274, 'x_2': 11.058272770225646, 'y_2': 2.6122217298687005}"
cw_1@c.com,image1,label3,vechicle,"{'x_1': 8.762093974716699, 'y_1': 8.63183199405539, 'x_2': 10.736715743750265, 'y_2': 10.91336113059854}"
cw_1@c.com,image1,label4,traffic-light,"{'x_1': 0.8952507657153382, 'y_1': 8.777778173668285, 'x_2': 3.004477481535483, 'y_2': 11.123947688661245}"
cw_2@c.com,image1,label1,vehicle,"{'x_1': 0.5294498117614643, 'y_1': 1.4672718481161529, 'x_2': 3.2568123830080165, 'y_2': 2.7733341538851204}"
cw_2@c.com,image1,label2,pedestrian,"{'x_1': 8.509988787161719, 'y_1': 0.797940333742478, 'x_2': 10.979841144536309, 'y_2': 3.2005584636375537}"
cw_2@c.com,image1,label3,vechicle,"{'x_1': 9.37846427280528, 'y_1': 9.229961289996508, 'x_2': 11.272837877419777, 'y_2': 10.600216785661845}"
cw_2@c.com,image1,label4,traffic-light,"{'x_1': 0.9073463791394741, 'y_1': 9.306583298999987, 'x_2': 3.10489692063339, 'y_2': 10.711092367825419}"
cw_3@c.com,image1,label1,vehicle,"{'x_1': 1.193178725328869, 'y_1': 0.7639307595299999, 'x_2': 3.2735119590505093, 'y_2': 2.7731666244983497}"
cw_3@c.com,image1,label2,pedestrian,"{'x_1': 9.246040806741075, 'y_1': 1.289415338288722, 'x_2': 10.681406243973003, 'y_2': 2.556492626211724}"
cw_3@c.com,image1,label3,vechicle,"{'x_1': 9.245154634652538, 'y_1': 8.634213396050704, 'x_2': 10.823921741674354, 'y_2': 10.716672796169187}"
cw_3@c.com,image1,label4,traffic-light,"{'x_1': 0.7556297745010059, 'y_1': 8.661419951553532, 'x_2': 3.4171664263853168, 'y_2': 10.846475323850548}"
cw_4@c.com,image1,label1,vehicle,"{'x_1': 1.3926309016131375, 'y_1': 1.1642710193685168, 'x_2': 2.9597556053312624, 'y_2': 3.100034801153539}"
cw_4@c.com,image1,label2,pedestrian,"{'x_1': 9.164251199810806, 'y_1': 0.9801371993202145, 'x_2': 10.60481765785227, 'y_2': 3.1531908056688027}"
cw_4@c.com,image1,label3,vechicle,"{'x_1': 8.54643533781076, 'y_1': 9.066626371783007, 'x_2': 11.276364809354465, 'y_2': 10.507422499624923}"
cw_4@c.com,image1,label4,traffic-light,"{'x_1': 0.6110580031219097, 'y_1': 8.996545989320234, 'x_2': 3.110904909368821, 'y_2': 11.319751381356994}"
cw_5@c.com,image1,label1,vehicle,"{'x_1': 1.0892744410806048, 'y_1': 0.9903028312062596, 'x_2': 2.65683445255981, 'y_2': 3.0110946604859548}"
cw_5@c.com,image1,label2,pedestrian,"{'x_1': 8.529996952329016, 'y_1': 1.159565703474454, 'x_2': 11.010080993834165, 'y_2': 3.213706805430149}"
cw_5@c.com,image1,label3,vechicle,"{'x_1': 9.26935554911834, 'y_1': 8.723916090484227, 'x_2': 10.926954231951433, 'y_2': 11.240666469927636}"
cw_5@c.com,image1,label4,traffic-light,"{'x_1': 1.3315270740046405, 'y_1': 8.99651482945643, 'x_2': 3.251939599209328, 'y_2': 11.022048122080378}"
cw_6@c.com,image1,label1,vehicle,"{'x_1': 1.2745808327267776, 'y_1': 1.1994595558293497, 'x_2': 2.8537504319382587, 'y_2': 3.4731493102887354}"
cw_6@c.com,image1,label2,pedestrian,"{'x_1': 9.298652115797235, 'y_1': 1.0925758686481646, 'x_2': 10.632032883864577, 'y_2': 2.533962729128418}"
cw_6@c.com,image1,label3,vechicle,"{'x_1': 8.995862050139362, 'y_1': 9.035645230360018, 'x_2': 10.52137487763891, 'y_2': 11.484790180704216}"
cw_6@c.com,image1,label4,traffic-light,"{'x_1': 1.4014235996162419, 'y_1': 9.263012284709404, 'x_2': 3.3114522034112213, 'y_2': 11.450729020796858}"
cw_7@c.com,image1,label1,vehicle,"{'x_1': 0.8710443948564169, 'y_1': 0.9000893829381145, 'x_2': 2.6872359855370025, 'y_2': 3.2743552133062965}"
cw_7@c.com,image1,label2,pedestrian,"{'x_1': 9.19614439668246, 'y_1': 1.1460192792567088, 'x_2': 10.66842619613512, 'y_2': 3.1788329634922876}"
